Date,Order_Number,Customer_ID,Product_Name,SKU,Price,Quantity,Product_Category,Product_Line
5/22/2021,SXF-7309-1727-1334,476582ea-1bba-4289-8775-3fcd8074821c,Feline Fix Mix,RKAPY3I1TP,39.55,1,treat,cat
5/22/2021,SXF-7309-1727-1334,476582ea-1bba-4289-8775-3fcd8074821c,Scratchy Post,MPH6SCD7UT,26.95,3,toy,cat
5/22/2021,SXF-7309-1727-1334,476582ea-1bba-4289-8775-3fcd8074821c,Reddy Beddy,DJWE1V9LZK,23.07,3,bedding,dog
3/23/2020,DG7-5410-5845-1340,5929a0e9-95a7-4dbf-896e-c11d1988615e,Snoozer Essentails,GABWVMEL2R,28.04,3,bedding,dog
3/23/2020,DG7-5410-5845-1340,5929a0e9-95a7-4dbf-896e-c11d1988615e,Reddy Beddy,KDTMPSBZKZ,13.84,1,bedding,dog
3/23/2020,DG7-5410-5845-1340,5929a0e9-95a7-4dbf-896e-c11d1988615e,Whole Chemistry Recipe,6K4AUUS730,18.53,3,food,dog
5/16/2021,SZA-5970-0614-1888,ea312d55-2d53-4d0b-99f4-f7b7b1080d53,Reddy Beddy,DJWE1V9LZK,23.07,3,bedding,dog
9/21/2019,ENT-5271-0660-4850,d13c8860-67ae-44fb-8827-7afa9b4eec7a,Cat Cave,058G0P7V60,29.66,2,bedding,cat
9/21/2019,ENT-5271-0660-4850,d13c8860-67ae-44fb-8827-7afa9b4eec7a,Chewie Dental,CG3531YP08,38.17,1,treat,dog
1/5/2020,14C-6286-0019-4676,e7b79f56-2196-49a0-852a-3d329ad7cb57,Tug-a-Back,IZBHF5KR79,21.82,3,toy,dog
1/5/2020,14C-6286-0019-4676,e7b79f56-2196-49a0-852a-3d329ad7cb57,Chomp-a Plush,3HDX5H4WTM,39.24,2,toy,dog
1/5/2020,14C-6286-0019-4676,e7b79f56-2196-49a0-852a-3d329ad7cb57,Snack-em Fish,ORGRBTIKZR,15.34,2,treat,cat
5/14/2020,VQE-2656-9729-6194,041686b3-ef2e-4ae9-a349-985bd6dafed3,Reddy Beddy,I2GQUNYDXW,36.3,3,bedding,dog
5/14/2020,VQE-2656-9729-6194,041686b3-ef2e-4ae9-a349-985bd6dafed3,Feline Fix Mix,RKAPY3I1TP,39.55,2,treat,cat
5/14/2020,VQE-2656-9729-6194,041686b3-ef2e-4ae9-a349-985bd6dafed3,Whole Chemistry Recipe,6K4AUUS730,18.53,1,food,dog
5/14/2020,VQE-2656-9729-6194,041686b3-ef2e-4ae9-a349-985bd6dafed3,Foozy Mouse,8PYSMLYINS,10.8,1,toy,cat
9/12/2020,9K8-5765-4461-7159,5c91c913-60bb-40be-a03a-25a0f28f2cb1,Foozy Mouse,8PYSMLYINS,10.8,3,toy,cat
9/12/2020,9K8-5765-4461-7159,5c91c913-60bb-40be-a03a-25a0f28f2cb1,Whole Chemistry Recipe,6K4AUUS730,18.53,1,food,dog
9/12/2020,9K8-5765-4461-7159,5c91c913-60bb-40be-a03a-25a0f28f2cb1,Snoozer Hammock,V4B4RNS3ZP,34.38,3,bedding,cat
6/30/2021,TCS-6223-7628-2720,aacbf226-43d2-4b06-987b-5c4224c11b9d,Fetch Blaster,M291KHJ4LW,29.47,1,toy,dog
6/30/2021,TCS-6223-7628-2720,aacbf226-43d2-4b06-987b-5c4224c11b9d,Yum Fish-Dish,GZCJZ3ET04,30.63,3,food,cat
11/2/2020,SO3-3756-2138-1970,f0d2e515-01fe-4da8-b75a-7b992694e05b,Purrfect Puree,28LQOI0LSK,19.96,2,treat,cat
5/30/2021,STO-8043-9269-9300,12f9f175-fef6-47c6-9312-89b219d7e7a1,New Dish,NYW2F6CPBY,17.16,1,food,dog
5/30/2021,STO-8043-9269-9300,12f9f175-fef6-47c6-9312-89b219d7e7a1,Foozy Mouse,8PYSMLYINS,10.8,1,toy,cat
9/14/2019,G7Y-9331-8313-2949,5bc15bf9-02d9-4b6a-a08d-de535d3fd8ca,Reddy Beddy,DJWE1V9LZK,23.07,2,bedding,dog
9/14/2019,G7Y-9331-8313-2949,5bc15bf9-02d9-4b6a-a08d-de535d3fd8ca,Purr Mix,O5FYJLBE0H,24.53,1,food,cat
9/14/2019,G7Y-9331-8313-2949,5bc15bf9-02d9-4b6a-a08d-de535d3fd8ca,Snoozer Hammock,V4B4RNS3ZP,34.38,2,bedding,cat
9/14/2019,G7Y-9331-8313-2949,5bc15bf9-02d9-4b6a-a08d-de535d3fd8ca,Chewie Dental,CG3531YP08,38.17,3,treat,dog
9/14/2019,G7Y-9331-8313-2949,5bc15bf9-02d9-4b6a-a08d-de535d3fd8ca,Foozy Mouse,8PYSMLYINS,10.8,1,toy,cat
12/15/2019,C66-4061-6799-2417,84832037-9fee-4ccf-8b42-57511e1e059e,Scratchy Post,MPH6SCD7UT,26.95,3,toy,cat
12/2/2019,HF5-4362-3368-4934,fb51881d-2c49-4d33-b951-266af029916c,Tuna Tasties,A8SU9C4GLF,14.53,1,treat,cat
5/27/2021,R3O-6541-4569-5974,d084c5f8-dbc6-4036-b6d3-b787dd382bc7,All Veggie Yummies,OWFPW3WZHG,25.48,3,treat,dog
6/22/2021,P5I-9996-9590-9562,8386a00d-e7a4-4955-9ad9-df281e083f7c,Chomp-a Plush,3HDX5H4WTM,39.24,2,toy,dog
1/27/2020,9FH-9267-0099-0140,fb08deab-44dd-4482-ade8-b1fe07c18c84,Snoozer Essentails,GABWVMEL2R,28.04,1,bedding,dog
1/27/2020,9FH-9267-0099-0140,fb08deab-44dd-4482-ade8-b1fe07c18c84,Yum Fish-Dish,GZCJZ3ET04,30.63,1,food,cat
1/27/2020,9FH-9267-0099-0140,fb08deab-44dd-4482-ade8-b1fe07c18c84,Ball and String,1W0N5O3XOD,16.71,2,toy,cat
1/27/2020,9FH-9267-0099-0140,fb08deab-44dd-4482-ade8-b1fe07c18c84,Tuna Tasties,A8SU9C4GLF,14.53,3,treat,cat
10/9/2019,4AA-7350-1027-5527,cdc28194-1af1-4059-9b25-19928d2f636a,Snack-em Fish,ORGRBTIKZR,15.34,2,treat,cat
10/9/2019,4AA-7350-1027-5527,cdc28194-1af1-4059-9b25-19928d2f636a,Purrfect Puree,28LQOI0LSK,19.96,1,treat,cat
10/9/2019,4AA-7350-1027-5527,cdc28194-1af1-4059-9b25-19928d2f636a,Scratchy Post,MPH6SCD7UT,26.95,1,toy,cat
10/9/2019,4AA-7350-1027-5527,cdc28194-1af1-4059-9b25-19928d2f636a,Purr Mix,O5FYJLBE0H,24.53,3,food,cat
8/24/2021,HMP-2151-3946-4248,a43c8d41-60f0-4efb-b66f-cce239566506,Cat Cave,058G0P7V60,29.66,2,bedding,cat
8/24/2021,HMP-2151-3946-4248,a43c8d41-60f0-4efb-b66f-cce239566506,Yum Fish-Dish,GZCJZ3ET04,30.63,2,food,cat
8/24/2021,HMP-2151-3946-4248,a43c8d41-60f0-4efb-b66f-cce239566506,Snack-em Fish,ORGRBTIKZR,15.34,3,treat,cat
7/25/2021,0UO-2567-9430-0947,b365b72e-1cc6-4c93-bd1d-175ded5492e3,Purr Mix,O5FYJLBE0H,24.53,2,food,cat
7/25/2021,0UO-2567-9430-0947,b365b72e-1cc6-4c93-bd1d-175ded5492e3,Tug-a-Back,IZBHF5KR79,21.82,1,toy,dog
4/21/2020,WYT-1621-8623-8683,b13e0c92-f408-4415-9078-01997ee0c8ff,Kitty Climber,W86BRJ9SSG,39.32,3,toy,cat
9/26/2020,2LH-3402-6631-1281,b50f855b-9b52-4507-8e5f-2c55368e1135,Fetch Blaster,M291KHJ4LW,29.47,2,toy,dog
9/26/2020,2LH-3402-6631-1281,b50f855b-9b52-4507-8e5f-2c55368e1135,Whole Chemistry Recipe,6K4AUUS730,18.53,2,food,dog
3/21/2021,QDA-8136-8717-6020,44f362c9-05e2-4759-a5ee-e02077a23d16,Purrfect Puree,28LQOI0LSK,19.96,2,treat,cat
3/21/2021,QDA-8136-8717-6020,44f362c9-05e2-4759-a5ee-e02077a23d16,Tug-a-Back,IZBHF5KR79,21.82,1,toy,dog
3/21/2021,QDA-8136-8717-6020,44f362c9-05e2-4759-a5ee-e02077a23d16,New Dish,NYW2F6CPBY,17.16,3,food,dog
8/10/2021,CB1-7398-6177-8783,55ddea94-9ff1-4e13-81da-ee8dc075c0e1,Snack-em Fish,ORGRBTIKZR,15.34,3,treat,cat
6/10/2020,58M-9760-8722-9405,47f4ea70-2ebc-4090-94af-2a974c1c2f6f,Reddy Beddy,DJWE1V9LZK,23.07,1,bedding,dog
6/10/2020,58M-9760-8722-9405,47f4ea70-2ebc-4090-94af-2a974c1c2f6f,Snack-em Fish,ORGRBTIKZR,15.34,1,treat,cat
6/10/2020,58M-9760-8722-9405,47f4ea70-2ebc-4090-94af-2a974c1c2f6f,Feline Fix Mix,RKAPY3I1TP,39.55,1,treat,cat
3/23/2019,90A-6495-9889-7663,02c500b5-216c-4fb9-8719-99f865e6ec35,Tuna Tasties,A8SU9C4GLF,14.53,2,treat,cat
3/23/2019,90A-6495-9889-7663,02c500b5-216c-4fb9-8719-99f865e6ec35,Yum Fish-Dish,GZCJZ3ET04,30.63,1,food,cat
3/23/2019,90A-6495-9889-7663,02c500b5-216c-4fb9-8719-99f865e6ec35,Reddy Beddy,I2GQUNYDXW,36.3,1,bedding,dog
5/24/2021,1OU-4172-9108-3513,9acf592c-bcd8-4ec7-9293-6bfcb6f513b7,Reddy Beddy,KDTMPSBZKZ,13.84,3,bedding,dog
5/24/2021,1OU-4172-9108-3513,9acf592c-bcd8-4ec7-9293-6bfcb6f513b7,Feline Fix Mix,RKAPY3I1TP,39.55,1,treat,cat
7/27/2019,0R0-5522-3689-6676,d63ce3da-22dd-46b6-b3e2-5281cdf6c0f2,Yum Fish-Dish,GZCJZ3ET04,30.63,2,food,cat
7/27/2019,0R0-5522-3689-6676,d63ce3da-22dd-46b6-b3e2-5281cdf6c0f2,Chomp-a Plush,3HDX5H4WTM,39.24,1,toy,dog
7/7/2020,E3W-1000-2722-6137,a4596e54-ab68-4ce5-ac70-6c4c7fde7a29,Foozy Mouse,8PYSMLYINS,10.8,2,toy,cat
7/7/2020,E3W-1000-2722-6137,a4596e54-ab68-4ce5-ac70-6c4c7fde7a29,All Veggie Yummies,OWFPW3WZHG,25.48,1,treat,dog
11/6/2019,L3E-4909-5078-2750,27eb8676-136f-44da-a2da-7bec8e44724b,Reddy Beddy,DJWE1V9LZK,23.07,2,bedding,dog
11/6/2019,L3E-4909-5078-2750,27eb8676-136f-44da-a2da-7bec8e44724b,Cat Cave,058G0P7V60,29.66,2,bedding,cat
11/6/2019,L3E-4909-5078-2750,27eb8676-136f-44da-a2da-7bec8e44724b,Scratchy Post,MPH6SCD7UT,26.95,1,toy,cat
