Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,,
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,12/1/09 7:45,6.95,13085,United Kingdom,,
489434,79323P,PINK CHERRY LIGHTS,12,12/1/09 7:45,6.75,13085,United Kingdom,,
489434,79323W,WHITE CHERRY LIGHTS,12,12/1/09 7:45,6.75,13085,United Kingdom,,
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/09 7:45,2.1,13085,United Kingdom,,
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/1/09 7:45,1.25,13085,United Kingdom,,
489434,22064,PINK DOUGHNUT TRINKET POT,24,12/1/09 7:45,1.65,13085,United Kingdom,,
489434,21871,SAVE THE PLANET MUG,24,12/1/09 7:45,1.25,13085,United Kingdom,,
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,12/1/09 7:45,5.95,13085,United Kingdom,,
489435,22350,CAT BOWL,12,12/1/09 7:46,2.55,13085,United Kingdom,,
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,12/1/09 7:46,3.75,13085,United Kingdom,,
489435,22195,HEART MEASURING SPOONS LARGE,24,12/1/09 7:46,1.65,13085,United Kingdom,,
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,12/1/09 7:46,2.55,13085,United Kingdom,,
489436,48173C,DOOR MAT BLACK FLOCK,10,12/1/09 9:06,5.95,13078,United Kingdom,,
489436,21755,LOVE BUILDING BLOCK WORD,18,12/1/09 9:06,5.45,13078,United Kingdom,,
489436,21754,HOME BUILDING BLOCK WORD,3,12/1/09 9:06,5.95,13078,United Kingdom,,
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/09 9:06,1.69,13078,United Kingdom,, 
489436,22119,PEACE WOODEN BLOCK LETTERS,3,12/1/09 9:06,6.95,13078,United Kingdom,,
489436,22142,CHRISTMAS CRAFT WHITE FAIRY,12,12/1/09 9:06,1.45,13078,United Kingdom,,
489436,22296,HEART IVORY TRELLIS LARGE,12,12/1/09 9:06,1.65,13078,United Kingdom,,
489436,22295,HEART FILIGREE DOVE LARGE,12,12/1/09 9:06,1.65,13078,United Kingdom,,
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,12/1/09 9:06,3.39,13078,United Kingdom,,
489436,22107,PIZZA PLATE IN BOX,4,12/1/09 9:06,3.75,13078,United Kingdom,,
489436,22194,BLACK DINER WALL CLOCK,2,12/1/09 9:06,8.5,13078,United Kingdom,,
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,12/1/09 9:06,4.65,13078,United Kingdom,,
489436,82582,AREA PATROLLED METAL SIGN,12,12/1/09 9:06,2.1,13078,United Kingdom,,
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,12/1/09 9:06,2.1,13078,United Kingdom,,
489436,21756,BATH BUILDING BLOCK WORD,3,12/1/09 9:06,5.95,13078,United Kingdom,,
489436,21333,CLASSIC WHITE FRAME,6,12/1/09 9:06,2.95,13078,United Kingdom,,
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,12/1/09 9:06,1.25,13078,United Kingdom,,
